instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
1,2011-01-01,spring,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0
2,2011-01-02,spring,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,1
3,2011-01-03,spring,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2
4,2011-01-04,spring,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,3
5,2011-01-05,spring,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,4
6,2011-01-06,spring,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,5
7,2011-01-07,spring,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,6
8,2011-01-08,spring,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,7
9,2011-01-09,spring,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,8
10,2011-01-10,spring,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,9
11,2011-01-11,spring,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,10
12,2011-01-12,spring,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,11
13,2011-01-13,spring,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,12
14,2011-01-14,spring,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,13
15,2011-01-15,spring,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,14
16,2011-01-16,spring,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,15
17,2011-01-17,spring,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,16
18,2011-01-18,spring,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,17
19,2011-01-19,spring,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,18
20,2011-01-20,spring,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,19
21,2011-01-21,spring,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,20
22,2011-01-22,spring,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,21
23,2011-01-23,spring,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,22
24,2011-01-24,spring,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,23
25,2011-01-25,spring,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0
26,2011-01-26,spring,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,1
27,2011-01-27,spring,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,2
28,2011-01-28,spring,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,3
29,2011-01-29,spring,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,4
30,2011-01-30,spring,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,6
31,2011-01-31,spring,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,7
32,2011-02-01,spring,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,8
33,2011-02-02,spring,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,9
34,2011-02-03,spring,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,10
35,2011-02-04,spring,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,11
36,2011-02-05,spring,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,12
37,2011-02-06,spring,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,13
38,2011-02-07,spring,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,14
39,2011-02-08,spring,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,15
40,2011-02-09,spring,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,16
41,2011-02-10,spring,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,17
42,2011-02-11,spring,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,18
43,2011-02-12,spring,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,19
44,2011-02-13,spring,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,20
45,2011-02-14,spring,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,21
46,2011-02-15,spring,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,22
47,2011-02-16,spring,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,23
48,2011-02-17,spring,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0
49,2011-02-18,spring,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,1
50,2011-02-19,spring,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,4
51,2011-02-20,spring,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,5
52,2011-02-21,spring,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,6
